Time (s)	mag_x	mag_y	mag_z
1479414255.012872	25.337022	-16.909179	5.732455
1479414255.019121	25.411571	-16.915234	6.197761
1479414255.031190	25.253945	-16.712656	6.920397
1479414255.097117	24.960519	-14.726867	9.663217
1479414255.109152	25.182790	-14.547119	10.393543
1479414255.126798	25.360608	-14.403320	10.977803
1479414255.151180	25.573211	-13.795235	11.833154
1479414255.181154	25.941028	-13.184810	12.492704
1479414255.187112	26.618995	-12.552927	12.446898
1479414255.199126	27.161368	-12.047420	12.410253
1479414255.211116	27.522845	-11.712155	12.731328
1479414255.241248	27.782653	-11.229373	13.193675
1479414255.253075	27.947451	-11.126858	13.428144
1479414255.277087	28.184760	-10.730330	13.513497
1479414255.295088	28.124293	-10.451061	13.543845
1479414255.307204	28.582872	-10.020224	13.918514
1479414255.319179	28.949736	-9.675555	14.218249
1479414255.331081	28.736273	-9.468960	15.088740
1479414255.348814	28.855191	-9.165402	15.504821
1479414255.355146	28.950325	-8.922556	15.837685
1479414255.385160	28.826599	-9.070671	16.064729
1479414255.397161	29.289561	-8.777631	15.795065
1479414255.415054	29.370243	-8.681480	16.139959
1479414255.421162	29.434789	-8.604559	16.415874
1479414255.445153	30.136078	-7.664106	16.953348
1479414255.468996	30.481988	-7.237535	16.926428
1479414255.487282	32.022973	-6.761554	17.588446
1479414255.511065	32.936782	-6.221848	18.502685
1479414255.529194	33.374348	-6.014588	18.516289
1479414255.541185	33.724401	-5.848780	18.527172
1479414255.553174	34.004443	-5.439571	18.956348
1479414255.583163	34.798782	-4.476950	20.205064
1479414255.601056	35.046440	-3.252436	21.256523
1479414255.619166	34.844809	-2.878511	21.490219
1479414255.631181	34.611082	-2.648512	21.607098
1479414255.643227	34.424100	-2.464513	21.700601
1479414255.655081	34.709047	-2.455595	21.635247
1479414255.703288	34.790174	-1.049843	21.765564
1479414255.709067	34.422530	-0.632452	22.247842
1479414255.757067	33.600653	-0.011806	23.521341
1479414255.775240	33.326070	0.059696	24.072933
1479414255.799187	33.061029	0.784924	24.741085
1479414255.817381	32.025308	1.250205	25.188884
1479414255.823567	31.269153	1.691570	25.336889
1479414255.871297	30.836014	3.050928	26.634921
1479414255.877460	31.114358	3.616133	26.703953
1479414255.889504	30.685237	4.137438	27.109569
1479414255.913298	30.067303	4.473273	27.693657
1479414255.937438	29.992436	4.684869	27.621020
1479414255.943445	29.932543	4.854145	27.562911
1479414255.955398	29.667363	5.058707	27.726658
1479414255.967248	29.744907	5.360637	28.418280
1479414255.985120	29.806941	5.602182	28.971578
1479414255.991198	29.494460	5.587996	28.923669
1479414256.009240	29.099631	5.991490	28.885343
1479414256.021078	28.783768	6.314286	28.854681
1479414256.104928	28.264222	7.471650	30.045237
1479414256.123146	27.996415	7.022013	30.077047
1479414256.152909	28.303003	7.550104	29.803077
1479414256.177085	28.600610	8.012536	30.006159
1479414256.189217	28.601817	7.723701	29.961568
1479414256.201142	28.602782	7.492633	29.925896
1479414256.255220	28.515258	7.353489	30.263803
1479414256.273170	28.099004	7.196463	30.027528
1479414256.279082	27.766000	7.070843	29.838508
1479414256.291126	27.572020	6.762924	29.757369
1479414256.321089	27.423046	6.443975	29.262109
1479414256.333140	26.863125	5.708305	28.875781
1479414256.345128	26.342766	5.465472	29.057267
1479414256.357214	25.926479	5.271206	29.202455
1479414256.369237	25.521027	5.046653	29.388683
1479414256.399083	24.792333	4.446733	29.516696
1479414256.423178	24.079734	3.468175	29.612640
1479414256.447208	24.232015	2.980179	29.225545
1479414256.459123	24.382722	2.591565	29.056765
1479414256.477275	24.720553	2.488096	29.131975
1479414256.501188	25.337389	2.961366	29.366419
1479414256.525262	25.674226	3.043009	28.899775
1479414256.537146	26.115866	3.194954	28.796149
1479414256.579081	27.676093	5.330692	28.512580
1479414256.603145	28.648403	6.246409	28.157100
1479414256.621221	28.640051	6.725643	28.061852
1479414256.633258	29.067901	7.385593	28.826592
1479414256.675304	29.946516	10.374674	29.856849
1479414256.681133	30.040651	11.341927	29.912199
1479414256.711096	29.857549	12.679459	30.748746
1479414256.723241	29.824633	13.185755	31.326498
1479414256.735127	29.725879	13.798214	31.578465
1479414256.759131	29.583673	15.675779	31.689016
1479414256.771152	29.460689	15.997655	31.518089
1479414256.789048	29.362301	16.393437	32.082128
1479414256.801170	29.283591	16.710063	32.533360
1479414256.813100	29.148202	16.479379	32.684111
1479414256.842937	28.822881	16.271647	33.279614
1479414256.879077	27.457216	16.473084	33.835490
1479414256.891086	27.035305	16.773780	33.936049
1479414256.909088	26.697775	17.014337	34.016496
1479414256.915233	26.355330	17.275923	34.150933
1479414256.927197	26.153796	17.416052	34.328560
1479414256.945110	25.992568	17.528154	34.470661
1479414256.993128	24.823863	20.232177	34.861190
1479414257.029067	24.490992	21.411407	35.429788
1479414257.035155	24.662325	22.245532	35.491800
1479414257.077245	24.130602	24.119886	35.503526
1479414257.125180	23.686346	26.501467	35.365542
1479414257.143200	23.584077	26.870705	35.440403
1479414257.149208	23.719528	27.511799	35.570370
1479414257.161208	23.827888	28.024675	35.674344
1479414257.191092	22.825177	29.869465	36.132410
1479414257.203243	22.243345	30.740495	36.264132
1479414257.215210	22.139989	31.229897	36.019120
1479414257.227457	21.912460	31.621418	36.103422
1479414257.245199	21.730437	31.934635	36.170863
1479414257.257086	21.367553	32.530912	36.014582
1479414257.299052	21.221197	35.304439	35.367541
1479414257.305398	21.394693	36.056442	35.231768
1479414257.317374	21.533489	36.658046	35.123150
1479414257.335287	21.282416	37.623312	35.106333
1479414257.347110	21.298824	38.602948	34.742489
1479414257.383303	22.895164	41.013009	34.284548
1479414257.395144	22.806288	41.936971	33.874827
1479414257.437183	23.701748	44.545341	33.969248
1479414257.449198	24.465462	45.039399	33.762743
1479414257.466835	25.076432	45.434645	33.597539
1479414257.473082	25.492787	45.958264	33.395298
1479414257.503196	26.613775	46.712276	32.851789
1479414257.515171	26.577817	47.671775	32.658542
1479414257.539248	26.917116	47.933376	32.001843
1479414257.569108	27.583283	48.750722	31.091009
